x y z
-5.0 -5.0 4.472135955
-4.75 -5.0 4.25
-4.5 -5.0 4.03112887415
-4.25 -5.0 3.81608438062
-4.0 -5.0 3.60555127546
-3.75 -5.0 3.40036762718
-3.5 -5.0 3.20156211872
-3.25 -5.0 3.0103986447
-3.0 -5.0 2.82842712475
-2.75 -5.0 2.65753645318
-2.5 -5.0 2.5
-2.25 -5.0 2.35849528301
-2.0 -5.0 2.2360679775
-1.75 -5.0 2.13600093633
-1.5 -5.0 2.06155281281
-1.25 -5.0 2.01556443707
-1.0 -5.0 2.0
-0.75 -5.0 2.0
-0.5 -5.0 2.0
-0.25 -5.0 2.0
0.0 -5.0 2.0
0.25 -5.0 2.0
0.5 -5.0 2.0
0.75 -5.0 2.0
1.0 -5.0 2.0
1.25 -5.0 2.01556443707
1.5 -5.0 2.06155281281
1.75 -5.0 2.13600093633
2.0 -5.0 2.2360679775
2.25 -5.0 2.35849528301
2.5 -5.0 2.5
2.75 -5.0 2.65753645318
3.0 -5.0 2.82842712475
3.25 -5.0 3.0103986447
3.5 -5.0 3.20156211872
3.75 -5.0 3.40036762718
4.0 -5.0 3.60555127546
4.25 -5.0 3.81608438062
4.5 -5.0 4.03112887415
4.75 -5.0 4.25
-5.0 -4.75 4.36606229914
-4.75 -4.75 4.13823633931
-4.5 -4.75 3.91311896062
-4.25 -4.75 3.69120576506
-4.0 -4.75 3.47311099736
-3.75 -4.75 3.2596012026
-3.5 -4.75 3.05163890393
-3.25 -4.75 2.85043856275
-3.0 -4.75 2.65753645318
-2.75 -4.75 2.47487373415
-2.5 -4.75 2.30488611432
-2.25 -4.75 2.15058131676
-2.0 -4.75 2.01556443707
-1.75 -4.75 1.90394327647
-1.5 -4.75 1.82002747232
-1.25 -4.75 1.76776695297
-1.0 -4.75 1.75
-0.75 -4.75 1.75
-0.5 -4.75 1.75
-0.25 -4.75 1.75
0.0 -4.75 1.75
0.25 -4.75 1.75
0.5 -4.75 1.75
0.75 -4.75 1.75
