N t_avg t_std n_avg n_std
4 0.157670454545 0.0796595164364 8.11363636364 4.72043867901
5 0.281605113636 0.0841754160659 9.40909090909 3.24960264577
6 0.592329545455 0.1936955277 12.9772727273 4.28787209551
7 0.894176136364 0.235198921971 15.5454545455 3.8046296287
8 1.63671875 0.308679145262 15.7954545455 3.45476972956
9 2.10356104651 0.255036994826 16.8372093023 2.46774760835
10 2.22856104651 0.546090833719 17.488372093 4.34753120546
11 2.83793604651 0.640824586534 18.3023255814 4.11765842084
12 3.57485465116 0.920161605786 19.1627906977 5.08042404638
13 4.5730377907 1.17099880485 19.488372093 4.4006981107
